id,name,location,price,description,amenities,special_offers
26,ITC Grand Central,Mumbai,400,Classic hotel offering comfort and elegance in the heart of the city,Wi-Fi,Pool,Spa,Gym,Free breakfast for two
27,The Oberoi Bangalore,Bengaluru,650,Upscale hotel with luxurious rooms and excellent city views,Wi-Fi,Pool,Spa,Gym,Complimentary afternoon tea
28,Le Meridien,New Delhi,500,Stylish hotel offering a range of amenities and services,Wi-Fi,Pool,Spa,Gym,Free guided city tour
29,The Westin,Goa,550,Beachfront resort with a range of recreational activities and dining options,Wi-Fi,Pool,Spa,Gym,Complimentary water sports
30,The Oberoi Cecil,Shimla,400,Historic hotel offering beautiful views of the Himalayas,Wi-Fi,Pool,Spa,Gym,Special winter rates
31,Shangri-La Hotel,New Delhi,600,Luxury hotel with elegant rooms and premium amenities,Wi-Fi,Pool,Spa,Gym,Complimentary breakfast and dinner
32,The Taj Palace,New Delhi,650,Five-star hotel with luxurious accommodations and top-notch service,Wi-Fi,Pool,Spa,Gym,Free room upgrade on availability
33,The Leela Mumbai,Mumbai,700,Exquisite hotel with luxurious rooms and diverse dining options,Wi-Fi,Pool,Spa,Gym,Special offers for weekend stays
34,Radisson Blu Marina,New Delhi,450,Modern hotel offering comfort and convenience in the city,Wi-Fi,Pool,Spa,Gym,10% off for advance bookings
35,The Trident,Udaipur,500,Beautifully situated hotel with luxury accommodations and fine dining,Wi-Fi,Pool,Spa,Gym,Special package for couples
36,The Lalit Great Eastern,Kolkata,550,Historic hotel offering a blend of luxury and heritage,Wi-Fi,Pool,Spa,Gym,Complimentary city tour
37,The Oberoi,New Delhi,600,Luxury hotel with sophisticated design and exceptional service,Wi-Fi,Pool,Spa,Gym,Special rates for extended stays
38,The Taj Krishna,Hyderabad,500,Comfortable hotel with upscale amenities and excellent service,Wi-Fi,Pool,Spa,Gym,Free breakfast for two
39,ITC Gardenia,Bengaluru,650,Modern hotel offering luxury accommodations and premium dining,Wi-Fi,Pool,Spa,Gym,Special offer for weekend getaways
40,The Taj Fort Aguada,Goa,700,Beachfront resort with luxurious rooms and stunning ocean views,Wi-Fi,Pool,Spa,Gym,Complimentary boat tour
